Watchlist 'IndustryAnalsysis'

IndustryAnalsysis
Symbol,%Change,% 9EMA,% 20SMA,RSI
KRE,-2.54%,-3.9,-7.12,34.6
URA,-2.56%,-6.59,-8.25,40.0
KCE,-2.61%,-2.65,-3.64,38.2
PAVE,-2.73%,-4.28,-5.81,36.7
FTXR,-2.78%,-5.31,-7.86,33.7
JETS,-2.80%,-7.38,-12.41,29.7
COPX,-2.86%,-8.28,-9.88,39.4
VNM,-3.16%,-4.8,-6.22,32.0
IYT,-3.18%,-4.49,-5.55,37.2
XSD,-3.52%,-5.86,-9.02,32.1
TECH,-3.58%,-5.31,-8.91,33.2
SMH,-3.74%,-4.61,-6.45,38.6
URNM,-3.80%,-7.95,-9.8,40.2
TUR,-3.90%,-5.51,-8.82,29.3
LUXE,-4.16%,-4.37,-5.23,46.4
SOXX,-4.22%,-5.57,-7.99,36.9
XTN,-4.28%,-6.42,-8.77,34.3
IBIT,-4.43%,-1.37,0.06,43.6
BTC,-4.44%,-1.38,0.04,43.6
PSI,-5.39%,-7.38,-10.09,37.8
BITQ,-6.11%,-3.39,-1.61,45.5
SVXY,-6.80%,-8.19,-11.08,28.6
WGMI,-8.10%,-8.52,-11.07,39.6
BDRY,-9.20%,-9.77,-9.73,39.0
